START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
09/20/2015,7:00 PM,7:00 PM,New Jersey 0 - Boston 2,Dunkin' Donuts Center - Providence, Ri,NHLN-US /  NESN,09/20/2015,09/20/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/20/2015,6:00 PM,6:00 PM,FREE,BUSY
09/22/2015,7:00 PM,7:00 PM,Washington 1 - Boston 2,TD Garden - Boston, ,09/22/2015,09/22/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/22/2015,6:00 PM,6:00 PM,FREE,BUSY
09/24/2015,7:00 PM,7:00 PM,Ny Rangers 3 - Boston 4,TD Garden - Boston,MSG /  NESNplus,09/24/2015,09/24/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/24/2015,6:00 PM,6:00 PM,FREE,BUSY
09/26/2015,7:00 PM,7:00 PM,Boston 4 - Detroit 3,Joe Louis Arena - Detroit, ,09/26/2015,09/26/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/26/2015,6:00 PM,6:00 PM,FREE,BUSY
09/28/2015,7:00 PM,7:00 PM,Detroit 3 - Boston 1,TD Garden - Boston, ,09/28/2015,09/28/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/28/2015,6:00 PM,6:00 PM,FREE,BUSY
09/30/2015,7:00 PM,7:00 PM,Boston 2 - Ny Rangers 3,Madison Square Garden - Ny Rangers,NHLN-US /  MSG,09/30/2015,09/30/2015,10:00 PM,10:00 PM,FALSE,TRUE,09/30/2015,6:00 PM,6:00 PM,FREE,BUSY
10/02/2015,7:00 PM,7:00 PM,Boston 1 - Washington 2,Verizon Center - Washington,NHLN-US /  CSN-DC,10/02/2015,10/02/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/02/2015,6:00 PM,6:00 PM,FREE,BUSY
10/08/2015,7:00 PM,7:00 PM,Winnipeg 6 - Boston 2,TD Garden - Boston - MA,TSN3 /  NESN,10/08/2015,10/08/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/08/2015,6:00 PM,6:00 PM,FREE,BUSY
10/10/2015,7:00 PM,7:00 PM,Montreal 4 - Boston 2,TD Garden - Boston - MA,NHLN-US / TVAS / SN /  NESN,10/10/2015,10/10/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/10/2015,6:00 PM,6:00 PM,FREE,BUSY
10/12/2015,1:00 PM,1:00 PM,Tampa Bay 6 - Boston 3,TD Garden - Boston - MA,TVAS / SN360 /  SUN /  NESN,10/12/2015,10/12/2015,4:00 PM,4:00 PM,FALSE,TRUE,10/12/2015,12:00 PM,12:00 PM,FREE,BUSY
10/14/2015,8:00 PM,10:00 PM,Boston 6 - Colorado 2,Pepsi Center - Denver - CO,NESN /  ALT,10/14/2015,10/15/2015,11:00 PM,1:00 AM,FALSE,TRUE,10/14/2015,7:00 PM,9:00 PM,FREE,BUSY
10/17/2015,7:00 PM,10:00 PM,Boston at Arizona,Gila River Arena - Glendale - AZ,NESN /  FS-A,10/17/2015,10/18/2015,10:00 PM,1:00 AM,FALSE,TRUE,10/17/2015,6:00 PM,9:00 PM,FREE,BUSY
10/21/2015,8:00 PM,8:00 PM,Philadelphia at Boston,TD Garden - Boston - MA,NBCSN / TVAS,10/21/2015,10/21/2015,11:00 PM,11:00 PM,FALSE,TRUE,10/21/2015,7:00 PM,7:00 PM,FREE,BUSY
10/23/2015,7:30 PM,7:30 PM,Boston at Ny Islanders,Barclays Center - Brooklyn  - NY,NHLN-US / TVAS /  NESN /  MSG+,10/23/2015,10/23/2015,10:30 PM,10:30 PM,FALSE,TRUE,10/23/2015,6:30 PM,6:30 PM,FREE,BUSY
10/27/2015,7:00 PM,7:00 PM,Arizona at Boston,TD Garden - Boston - MA,FS-A /  NESN,10/27/2015,10/27/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/27/2015,6:00 PM,6:00 PM,FREE,BUSY
10/30/2015,7:30 PM,7:30 PM,Boston at Florida,BB&T Center - Sunrise - FL,NESN /  FS-F,10/30/2015,10/30/2015,10:30 PM,10:30 PM,FALSE,TRUE,10/30/2015,6:30 PM,6:30 PM,FREE,BUSY
10/31/2015,7:00 PM,7:00 PM,Boston at Tampa Bay,Amalie Arena - Tampa - FL,NESN /  SUN,10/31/2015,10/31/2015,10:00 PM,10:00 PM,FALSE,TRUE,10/31/2015,6:00 PM,6:00 PM,FREE,BUSY
11/03/2015,7:00 PM,7:00 PM,Dallas at Boston,TD Garden - Boston - MA,FS-SW+ /  NESN,11/03/2015,11/03/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/03/2015,6:00 PM,6:00 PM,FREE,BUSY
11/05/2015,7:00 PM,7:00 PM,Boston at Washington,Verizon Center - Washington - DC,NESN /  CSN-DC,11/05/2015,11/05/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/05/2015,6:00 PM,6:00 PM,FREE,BUSY
11/07/2015,7:00 PM,7:00 PM,Boston at Montreal,Centre Bell - Montreal - QC,HNIC / TVAS /  NESN,11/07/2015,11/07/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/07/2015,6:00 PM,6:00 PM,FREE,BUSY
11/08/2015,5:00 PM,5:00 PM,Boston at Ny Islanders,Barclays Center - Brooklyn  - NY,TVAS /  NESN /  MSG+,11/08/2015,11/08/2015,8:00 PM,8:00 PM,FALSE,TRUE,11/08/2015,4:00 PM,4:00 PM,FREE,BUSY
11/12/2015,7:00 PM,7:00 PM,Colorado at Boston,TD Garden - Boston - MA,ALT /  NESN,11/12/2015,11/12/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/12/2015,6:00 PM,6:00 PM,FREE,BUSY
11/14/2015,7:00 PM,7:00 PM,Detroit at Boston,TD Garden - Boston - MA,FS-D /  NESN,11/14/2015,11/14/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/14/2015,6:00 PM,6:00 PM,FREE,BUSY
11/17/2015,7:00 PM,7:00 PM,San Jose at Boston,TD Garden - Boston - MA,CSN-CA /  NESN,11/17/2015,11/17/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/17/2015,6:00 PM,6:00 PM,FREE,BUSY
11/19/2015,7:00 PM,7:00 PM,Minnesota at Boston,TD Garden - Boston - MA,FS-N / FS-WI /  NESN,11/19/2015,11/19/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/19/2015,6:00 PM,6:00 PM,FREE,BUSY
11/21/2015,7:00 PM,7:00 PM,Toronto at Boston,TD Garden - Boston - MA,HNIC /  NESN,11/21/2015,11/21/2015,10:00 PM,10:00 PM,FALSE,TRUE,11/21/2015,6:00 PM,6:00 PM,FREE,BUSY
11/23/2015,7:30 PM,7:30 PM,Boston at Toronto,Air Canada Centre - Toronto - ON,TVAS /  NESN /  TSN4,11/23/2015,11/23/2015,10:30 PM,10:30 PM,FALSE,TRUE,11/23/2015,6:30 PM,6:30 PM,FREE,BUSY
11/25/2015,7:30 PM,7:30 PM,Boston at Detroit,Joe Louis Arena - Detroit - MI,TVAS /  NESN /  FS-D,11/25/2015,11/25/2015,10:30 PM,10:30 PM,FALSE,TRUE,11/25/2015,6:30 PM,6:30 PM,FREE,BUSY
11/27/2015,1:00 PM,1:00 PM,Ny Rangers at Boston,TD Garden - Boston - MA,NBC,11/27/2015,11/27/2015,4:00 PM,4:00 PM,FALSE,TRUE,11/27/2015,12:00 PM,12:00 PM,FREE,BUSY
12/02/2015,7:30 PM,9:30 PM,Boston at Edmonton,Rexall Place - Edmonton - AB,SN1 /  NESN,12/02/2015,12/03/2015,10:30 PM,12:30 AM,FALSE,TRUE,12/02/2015,6:30 PM,8:30 PM,FREE,BUSY
12/04/2015,7:00 PM,9:00 PM,Boston at Calgary,Scotiabank Saddledome - Calgary - AB,NESN /  SNF,12/04/2015,12/05/2015,10:00 PM,12:00 AM,FALSE,TRUE,12/04/2015,6:00 PM,8:00 PM,FREE,BUSY
12/05/2015,7:00 PM,10:00 PM,Boston at Vancouver,Rogers Arena - Vancouver - BC,HNIC /  NESN,12/05/2015,12/06/2015,10:00 PM,1:00 AM,FALSE,TRUE,12/05/2015,6:00 PM,9:00 PM,FREE,BUSY
12/07/2015,7:00 PM,7:00 PM,Nashville at Boston,TD Garden - Boston - MA,TVAS /  FS-TN /  NESN,12/07/2015,12/07/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/07/2015,6:00 PM,6:00 PM,FREE,BUSY
12/09/2015,7:30 PM,7:30 PM,Boston at Montreal,Centre Bell - Montreal - QC,NBCSN / SN /  RDS,12/09/2015,12/09/2015,10:30 PM,10:30 PM,FALSE,TRUE,12/09/2015,6:30 PM,6:30 PM,FREE,BUSY
12/12/2015,1:00 PM,1:00 PM,Florida at Boston,TD Garden - Boston - MA,FS-F /  NESN,12/12/2015,12/12/2015,4:00 PM,4:00 PM,FALSE,TRUE,12/12/2015,12:00 PM,12:00 PM,FREE,BUSY
12/14/2015,7:00 PM,7:00 PM,Edmonton at Boston,TD Garden - Boston - MA,TVAS /  SNW /  NESN,12/14/2015,12/14/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/14/2015,6:00 PM,6:00 PM,FREE,BUSY
12/16/2015,8:00 PM,8:00 PM,Pittsburgh at Boston,TD Garden - Boston - MA,NBCSN,12/16/2015,12/16/2015,11:00 PM,11:00 PM,FALSE,TRUE,12/16/2015,7:00 PM,7:00 PM,FREE,BUSY
12/18/2015,7:00 PM,7:00 PM,Boston at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TVAS /  NESN /  ROOT,12/18/2015,12/18/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/18/2015,6:00 PM,6:00 PM,FREE,BUSY
12/20/2015,5:00 PM,5:00 PM,New Jersey at Boston,TD Garden - Boston - MA,MSG+ /  NESN,12/20/2015,12/20/2015,8:00 PM,8:00 PM,FALSE,TRUE,12/20/2015,4:00 PM,4:00 PM,FREE,BUSY
12/22/2015,7:00 PM,7:00 PM,St Louis at Boston,TD Garden - Boston - MA,TVAS /  FS-MW /  NESN,12/22/2015,12/22/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/22/2015,6:00 PM,6:00 PM,FREE,BUSY
12/26/2015,7:00 PM,7:00 PM,Buffalo at Boston,TD Garden - Boston - MA,MSG-B / BELL TV /  NESN,12/26/2015,12/26/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/26/2015,6:00 PM,6:00 PM,FREE,BUSY
12/27/2015,5:00 PM,5:00 PM,Boston at Ottawa,Canadian Tire Centre - Ottawa - ON,NESN /  RDS2 / TSN5,12/27/2015,12/27/2015,8:00 PM,8:00 PM,FALSE,TRUE,12/27/2015,4:00 PM,4:00 PM,FREE,BUSY
12/29/2015,7:00 PM,7:00 PM,Ottawa at Boston,TD Garden - Boston - MA,RDS2 / TSN5 /  NESN,12/29/2015,12/29/2015,10:00 PM,10:00 PM,FALSE,TRUE,12/29/2015,6:00 PM,6:00 PM,FREE,BUSY
01/01/2016,1:00 PM,1:00 PM,Montreal at Boston,Gillette Stadium - Boston - MA,NBC / TVAS / SN,01/01/2016,01/01/2016,4:00 PM,4:00 PM,FALSE,TRUE,01/01/2016,12:00 PM,12:00 PM,FREE,BUSY
01/05/2016,7:00 PM,7:00 PM,Washington at Boston,TD Garden - Boston - MA,TVAS /  CSN-DC /  NESN,01/05/2016,01/05/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/05/2016,6:00 PM,6:00 PM,FREE,BUSY
01/08/2016,7:00 PM,7:00 PM,Boston at New Jersey,Prudential Center - Newark - NJ,NESN /  MSG+,01/08/2016,01/08/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/08/2016,6:00 PM,6:00 PM,FREE,BUSY
01/09/2016,7:00 PM,7:00 PM,Boston at Ottawa,Canadian Tire Centre - Ottawa - ON,HNIC / TVAS2 /  NESN,01/09/2016,01/09/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/09/2016,6:00 PM,6:00 PM,FREE,BUSY
01/11/2016,7:00 PM,7:00 PM,Boston at Ny Rangers,Madison Square Garden - New York - NY,TVAS /  NESN /  MSG,01/11/2016,01/11/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/11/2016,6:00 PM,6:00 PM,FREE,BUSY
01/13/2016,8:00 PM,8:00 PM,Boston at Philadelphia,Wells Fargo Center - Philadelphia - PA,NBCSN / TVAS,01/13/2016,01/13/2016,11:00 PM,11:00 PM,FALSE,TRUE,01/13/2016,7:00 PM,7:00 PM,FREE,BUSY
01/15/2016,7:00 PM,7:00 PM,Boston at Buffalo,First Niagara Center - Buffalo - NY,NESN /  MSG-B / BELL TV,01/15/2016,01/15/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/15/2016,6:00 PM,6:00 PM,FREE,BUSY
01/16/2016,7:00 PM,7:00 PM,Toronto at Boston,TD Garden - Boston - MA,HNIC /  NESN,01/16/2016,01/16/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/16/2016,6:00 PM,6:00 PM,FREE,BUSY
01/19/2016,7:30 PM,7:30 PM,Boston at Montreal,Centre Bell - Montreal - QC,NESN /  RDS / SNE,01/19/2016,01/19/2016,10:30 PM,10:30 PM,FALSE,TRUE,01/19/2016,6:30 PM,6:30 PM,FREE,BUSY
01/21/2016,7:00 PM,7:00 PM,Vancouver at Boston,TD Garden - Boston - MA,SN360 /  NESN,01/21/2016,01/21/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/21/2016,6:00 PM,6:00 PM,FREE,BUSY
01/23/2016,7:00 PM,7:00 PM,Columbus at Boston,TD Garden - Boston - MA,FS-O /  NESN,01/23/2016,01/23/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/23/2016,6:00 PM,6:00 PM,FREE,BUSY
01/25/2016,7:00 PM,7:00 PM,Boston at Philadelphia,Wells Fargo Center - Philadelphia - PA,TVAS /  NESN /  CSN-PH,01/25/2016,01/25/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/25/2016,6:00 PM,6:00 PM,FREE,BUSY
01/26/2016,7:00 PM,7:00 PM,Anaheim at Boston,TD Garden - Boston - MA,TVAS /  FS-W /  NESN,01/26/2016,01/26/2016,10:00 PM,10:00 PM,FALSE,TRUE,01/26/2016,6:00 PM,6:00 PM,FREE,BUSY
02/02/2016,7:00 PM,7:00 PM,Toronto at Boston,TD Garden - Boston - MA,TVAS /  TSN4 /  NESN,02/02/2016,02/02/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/02/2016,6:00 PM,6:00 PM,FREE,BUSY
02/04/2016,7:00 PM,7:00 PM,Boston at Buffalo,First Niagara Center - Buffalo - NY,NESN /  MSG-B / BELL TV,02/04/2016,02/04/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/04/2016,6:00 PM,6:00 PM,FREE,BUSY
02/06/2016,7:00 PM,7:00 PM,Buffalo at Boston,TD Garden - Boston - MA,MSG-B / BELL TV /  NESN,02/06/2016,02/06/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/06/2016,6:00 PM,6:00 PM,FREE,BUSY
02/09/2016,7:00 PM,7:00 PM,Los Angeles at Boston,TD Garden - Boston - MA,TVAS /  FS-W /  NESN,02/09/2016,02/09/2016,10:00 PM,10:00 PM,FALSE,TRUE,02/09/2016,6:00 PM,6:00 PM,FREE,BUSY
02/11/2016,7:00 PM,8:00 PM,Boston at Winnipeg,MTS Centre - Winnipeg - MB,NESN /  TSN3,02/11/2016,02/11/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/11/2016,6:00 PM,7:00 PM,FREE,BUSY
02/13/2016,1:00 PM,2:00 PM,Boston at Minnesota,Xcel Energy Center - St. Paul - MN,NESN /  FS-N / FS-WI,02/13/2016,02/13/2016,4:00 PM,5:00 PM,FALSE,TRUE,02/13/2016,12:00 PM,1:00 PM,FREE,BUSY
